dataset,domain,method,seed,role,eval_dir,eval_json,prediction_image_ids,config,status,mAP50,eval_mAP50,problems,n_predictions,n_post_nms_detections,checkpoint,source_id,gpu_provenance,eval_status,class_ap,predictions,pred_count,training_code_sha,evaluation_code_sha,recorded_training_code_sha,effective_training_code_sha,actual_source_producer_sha,producer_metadata_status,producer_metadata_correction,historical_mAP50,historical_file,comparison_group,binding_file,native_execution,collection_problems
RSAR,clean,A,42,source,/home/zechuan/iraod_artifacts/comparison/rsar/clean/seed_42/0f98a48/methods/A/eval_full_clean_ids_v1,/home/zechuan/iraod_artifacts/comparison/rsar/clean/seed_42/0f98a48/methods/A/eval_full_clean_ids_v1/eval_20260907_053721.json,/home/zechuan/iraod_artifacts/comparison/rsar/clean/seed_42/0f98a48/methods/A/eval_full_clean_ids_v1/predictions.pkl.image_ids.json,/mnt/SSD2_8TB/zechuan/IRAOD-New-rc331d213/configs/baseline/oriented_rcnn_orthonet_rsar.py,complete,0.5313997864723206,0.5313997864723206,[],8538,59554,/home/zechuan/iraod_artifacts/rsar_source/seed42-orthonet-ddp4-gpu4567-spg16-gbs64/train/epoch_100.pth,e489f015cc2b67926a415436c97532ff814f826c4861b659cbc712fb9413b98c,,/home/zechuan/iraod_artifacts/comparison/rsar/clean/seed_42/0f98a48/methods/A/eval_full_clean_ids_v1/eval_status,/home/zechuan/iraod_artifacts/comparison/rsar/clean/seed_42/0f98a48/methods/A/eval_full_clean_ids_v1/class_ap.txt,/home/zechuan/iraod_artifacts/comparison/rsar/clean/seed_42/0f98a48/methods/A/eval_full_clean_ids_v1/predictions.pkl,/home/zechuan/iraod_artifacts/comparison/rsar/clean/seed_42/0f98a48/methods/A/eval_full_clean_ids_v1/pred_count.txt,0f98a48b539f9260055fc305784ffbc924f50451,331d2131b84651f0a2930a3d53faeefad8701531,0f98a48b539f9260055fc305784ffbc924f50451,b474aaa5f7718746215ce13beceb071617bb823e,b474aaa5f7718746215ce13beceb071617bb823e,source_producer_corrected_in_report,"{""dataset"": ""RSAR"", ""domain"": ""clean"", ""method"": ""A"", ""seed"": 42, ""role"": ""source"", ""field"": ""training_code_sha"", ""recorded"": ""0f98a48b539f9260055fc305784ffbc924f50451"", ""actual"": ""b474aaa5f7718746215ce13beceb071617bb823e"", ""source_checkpoint"": ""/home/zechuan/iraod_artifacts/rsar_source/seed42-orthonet-ddp4-gpu4567-spg16-gbs64/train/epoch_100.pth"", ""source_weights_sha256"": ""e489f015cc2b67926a415436c97532ff814f826c4861b659cbc712fb9413b98c"", ""source_record"": ""/home/zechuan/iraod_artifacts/rsar_source/seed42-orthonet-ddp4-gpu4567-spg16-gbs64/reproducibility/git_commit.txt"", ""source_record_snapshot"": ""/home/zechuan/iraod_artifacts/comparison/final_delivery_20260908_4a6bc50/input/source_records/RSAR_producer_git_commit.txt"", ""sidecar"": ""/home/zechuan/iraod_artifacts/comparison/rsar/clean/seed_42/0f98a48/methods/A/eval_full_clean_ids_v1/predictions.pkl.image_ids.json"", ""sidecar_modified"": false, ""scope"": ""producer metadata only; weights, predictions, IDs and mAP unchanged""}",0.5313997864723206,/mnt/HDD_14TB/zechuan/IRAOD-New-report-complete-path-identities-44ac421-20260909/results/paper_comparison/historical/seed42/raw_results.csv,fixed_source,,,
RSAR,clean,B_REG,42,ema,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/b_reg_runs_0e5f8f7/rsar/clean/seed_42/methods/B_REG/eval_full_clean_ids_v1,,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/b_reg_runs_0e5f8f7/rsar/clean/seed_42/methods/B_REG/eval_full_clean_ids_v1/predictions.pkl.image_ids.json,/home/zechuan/IRAOD-New-rc331d213/configs/baseline/oriented_rcnn_orthonet_rsar.py,incomplete,,,"[""missing_eval_json"", ""checkpoint_missing_or_size_changed"", ""missing_native_execution_binding"", ""checkpoint_unverified_or_wrong_source"", ""missing_eval_status"", ""missing_class_ap"", ""missing_predictions"", ""missing_pred_count"", ""missing_eval_json"", ""missing_prediction_image_order""]",,,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/b_reg_runs_0e5f8f7/rsar/clean/seed_42/methods/B_REG/work/iter_266_ema.pth,e489f015cc2b67926a415436c97532ff814f826c4861b659cbc712fb9413b98c,,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/b_reg_runs_0e5f8f7/rsar/clean/seed_42/methods/B_REG/eval_full_clean_ids_v1/eval_status,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/b_reg_runs_0e5f8f7/rsar/clean/seed_42/methods/B_REG/eval_full_clean_ids_v1/class_ap.txt,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/b_reg_runs_0e5f8f7/rsar/clean/seed_42/methods/B_REG/eval_full_clean_ids_v1/predictions.pkl,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/b_reg_runs_0e5f8f7/rsar/clean/seed_42/methods/B_REG/eval_full_clean_ids_v1/pred_count.txt,0f98a48b539f9260055fc305784ffbc924f50451,331d2131b84651f0a2930a3d53faeefad8701531,0f98a48b539f9260055fc305784ffbc924f50451,0f98a48b539f9260055fc305784ffbc924f50451,,recorded_adaptation_producer,,,,common_one_epoch,/mnt/HDD_14TB/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/report_checkpoint_breg_f_ema_20260909T2102Z/mapped_runtimes/b_reg_manifests_0e5f8f7.runtime.json,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/b_reg_runs_0e5f8f7/rsar/clean/seed_42/methods/B_REG/eval_full_clean_ids_v1/execution.json,"[""missing_eval_json"", ""checkpoint_missing_or_size_changed"", ""missing_native_execution_binding""]"
RSAR,clean,B_REG,43,ema,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/b_reg_runs_0e5f8f7/rsar/clean/seed_43/methods/B_REG/eval_full_clean_ids_v1,,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/b_reg_runs_0e5f8f7/rsar/clean/seed_43/methods/B_REG/eval_full_clean_ids_v1/predictions.pkl.image_ids.json,/home/zechuan/IRAOD-New-rc331d213/configs/baseline/oriented_rcnn_orthonet_rsar.py,incomplete,,,"[""missing_eval_json"", ""checkpoint_missing_or_size_changed"", ""missing_native_execution_binding"", ""checkpoint_unverified_or_wrong_source"", ""missing_eval_status"", ""missing_class_ap"", ""missing_predictions"", ""missing_pred_count"", ""missing_eval_json"", ""missing_prediction_image_order""]",,,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/b_reg_runs_0e5f8f7/rsar/clean/seed_43/methods/B_REG/work/iter_266_ema.pth,e489f015cc2b67926a415436c97532ff814f826c4861b659cbc712fb9413b98c,,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/b_reg_runs_0e5f8f7/rsar/clean/seed_43/methods/B_REG/eval_full_clean_ids_v1/eval_status,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/b_reg_runs_0e5f8f7/rsar/clean/seed_43/methods/B_REG/eval_full_clean_ids_v1/class_ap.txt,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/b_reg_runs_0e5f8f7/rsar/clean/seed_43/methods/B_REG/eval_full_clean_ids_v1/predictions.pkl,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/b_reg_runs_0e5f8f7/rsar/clean/seed_43/methods/B_REG/eval_full_clean_ids_v1/pred_count.txt,0f98a48b539f9260055fc305784ffbc924f50451,331d2131b84651f0a2930a3d53faeefad8701531,0f98a48b539f9260055fc305784ffbc924f50451,0f98a48b539f9260055fc305784ffbc924f50451,,recorded_adaptation_producer,,,,common_one_epoch,/mnt/HDD_14TB/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/report_checkpoint_breg_f_ema_20260909T2102Z/mapped_runtimes/b_reg_manifests_0e5f8f7.runtime.json,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/b_reg_runs_0e5f8f7/rsar/clean/seed_43/methods/B_REG/eval_full_clean_ids_v1/execution.json,"[""missing_eval_json"", ""checkpoint_missing_or_size_changed"", ""missing_native_execution_binding""]"
RSAR,clean,B_REG,44,ema,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/b_reg_runs_0e5f8f7/rsar/clean/seed_44/methods/B_REG/eval_full_clean_ids_v1,,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/b_reg_runs_0e5f8f7/rsar/clean/seed_44/methods/B_REG/eval_full_clean_ids_v1/predictions.pkl.image_ids.json,/home/zechuan/IRAOD-New-rc331d213/configs/baseline/oriented_rcnn_orthonet_rsar.py,incomplete,,,"[""missing_eval_json"", ""checkpoint_missing_or_size_changed"", ""missing_native_execution_binding"", ""checkpoint_unverified_or_wrong_source"", ""missing_eval_status"", ""missing_class_ap"", ""missing_predictions"", ""missing_pred_count"", ""missing_eval_json"", ""missing_prediction_image_order""]",,,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/b_reg_runs_0e5f8f7/rsar/clean/seed_44/methods/B_REG/work/iter_266_ema.pth,e489f015cc2b67926a415436c97532ff814f826c4861b659cbc712fb9413b98c,,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/b_reg_runs_0e5f8f7/rsar/clean/seed_44/methods/B_REG/eval_full_clean_ids_v1/eval_status,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/b_reg_runs_0e5f8f7/rsar/clean/seed_44/methods/B_REG/eval_full_clean_ids_v1/class_ap.txt,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/b_reg_runs_0e5f8f7/rsar/clean/seed_44/methods/B_REG/eval_full_clean_ids_v1/predictions.pkl,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/b_reg_runs_0e5f8f7/rsar/clean/seed_44/methods/B_REG/eval_full_clean_ids_v1/pred_count.txt,0f98a48b539f9260055fc305784ffbc924f50451,331d2131b84651f0a2930a3d53faeefad8701531,0f98a48b539f9260055fc305784ffbc924f50451,0f98a48b539f9260055fc305784ffbc924f50451,,recorded_adaptation_producer,,,,common_one_epoch,/mnt/HDD_14TB/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/report_checkpoint_breg_f_ema_20260909T2102Z/mapped_runtimes/b_reg_manifests_0e5f8f7.runtime.json,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/b_reg_runs_0e5f8f7/rsar/clean/seed_44/methods/B_REG/eval_full_clean_ids_v1/execution.json,"[""missing_eval_json"", ""checkpoint_missing_or_size_changed"", ""missing_native_execution_binding""]"
RSAR,clean,F_text_only,42,ema,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/clean/seed_42/methods/F_text_only/ddp2/eval_full_clean_ids_v1,,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/clean/seed_42/methods/F_text_only/ddp2/eval_full_clean_ids_v1/predictions.pkl.image_ids.json,/home/zechuan/IRAOD-New-rc331d213/configs/baseline/oriented_rcnn_orthonet_rsar.py,incomplete,,,"[""missing_eval_json"", ""checkpoint_missing_or_size_changed"", ""missing_native_execution_binding"", ""checkpoint_unverified_or_wrong_source"", ""missing_eval_status"", ""missing_class_ap"", ""missing_predictions"", ""missing_pred_count"", ""missing_eval_json"", ""missing_prediction_image_order""]",,,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/clean/seed_42/methods/F_text_only/ddp2/work/iter_266_ema.pth,e489f015cc2b67926a415436c97532ff814f826c4861b659cbc712fb9413b98c,,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/clean/seed_42/methods/F_text_only/ddp2/eval_full_clean_ids_v1/eval_status,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/clean/seed_42/methods/F_text_only/ddp2/eval_full_clean_ids_v1/class_ap.txt,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/clean/seed_42/methods/F_text_only/ddp2/eval_full_clean_ids_v1/predictions.pkl,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/clean/seed_42/methods/F_text_only/ddp2/eval_full_clean_ids_v1/pred_count.txt,0f98a48b539f9260055fc305784ffbc924f50451,331d2131b84651f0a2930a3d53faeefad8701531,0f98a48b539f9260055fc305784ffbc924f50451,0f98a48b539f9260055fc305784ffbc924f50451,,recorded_adaptation_producer,,,,common_one_epoch,/mnt/HDD_14TB/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/report_checkpoint_breg_f_ema_20260909T2102Z/mapped_runtimes/f_deletion_manifests_daa3992.runtime.json,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/clean/seed_42/methods/F_text_only/ddp2/eval_full_clean_ids_v1/execution.json,"[""missing_eval_json"", ""checkpoint_missing_or_size_changed"", ""missing_native_execution_binding""]"
RSAR,clean,F_text_only,43,ema,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/clean/seed_43/methods/F_text_only/ddp2/eval_full_clean_ids_v1,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/clean/seed_43/methods/F_text_only/ddp2/eval_full_clean_ids_v1/eval_20260910_032214.json,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/clean/seed_43/methods/F_text_only/ddp2/eval_full_clean_ids_v1/predictions.pkl.image_ids.json,/home/zechuan/IRAOD-New-rc331d213/configs/baseline/oriented_rcnn_orthonet_rsar.py,complete,0.5115399956703186,0.5115399956703186,[],8538,45666,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/clean/seed_43/methods/F_text_only/ddp2/work/iter_266_ema.pth,e489f015cc2b67926a415436c97532ff814f826c4861b659cbc712fb9413b98c,,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/clean/seed_43/methods/F_text_only/ddp2/eval_full_clean_ids_v1/eval_status,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/clean/seed_43/methods/F_text_only/ddp2/eval_full_clean_ids_v1/class_ap.txt,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/clean/seed_43/methods/F_text_only/ddp2/eval_full_clean_ids_v1/predictions.pkl,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/clean/seed_43/methods/F_text_only/ddp2/eval_full_clean_ids_v1/pred_count.txt,0f98a48b539f9260055fc305784ffbc924f50451,331d2131b84651f0a2930a3d53faeefad8701531,0f98a48b539f9260055fc305784ffbc924f50451,0f98a48b539f9260055fc305784ffbc924f50451,,recorded_adaptation_producer,,,,common_one_epoch,/mnt/HDD_14TB/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/report_checkpoint_breg_f_ema_20260909T2102Z/mapped_runtimes/f_deletion_manifests_daa3992.runtime.json,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/clean/seed_43/methods/F_text_only/ddp2/eval_full_clean_ids_v1/execution.json,[]
RSAR,clean,F_text_only,44,ema,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/clean/seed_44/methods/F_text_only/ddp2/eval_full_clean_ids_v1,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/clean/seed_44/methods/F_text_only/ddp2/eval_full_clean_ids_v1/eval_20260910_032214.json,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/clean/seed_44/methods/F_text_only/ddp2/eval_full_clean_ids_v1/predictions.pkl.image_ids.json,/home/zechuan/IRAOD-New-rc331d213/configs/baseline/oriented_rcnn_orthonet_rsar.py,complete,0.5148964524269104,0.5148964524269104,[],8538,47246,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/clean/seed_44/methods/F_text_only/ddp2/work/iter_266_ema.pth,e489f015cc2b67926a415436c97532ff814f826c4861b659cbc712fb9413b98c,,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/clean/seed_44/methods/F_text_only/ddp2/eval_full_clean_ids_v1/eval_status,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/clean/seed_44/methods/F_text_only/ddp2/eval_full_clean_ids_v1/class_ap.txt,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/clean/seed_44/methods/F_text_only/ddp2/eval_full_clean_ids_v1/predictions.pkl,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/clean/seed_44/methods/F_text_only/ddp2/eval_full_clean_ids_v1/pred_count.txt,0f98a48b539f9260055fc305784ffbc924f50451,331d2131b84651f0a2930a3d53faeefad8701531,0f98a48b539f9260055fc305784ffbc924f50451,0f98a48b539f9260055fc305784ffbc924f50451,,recorded_adaptation_producer,,,,common_one_epoch,/mnt/HDD_14TB/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/report_checkpoint_breg_f_ema_20260909T2102Z/mapped_runtimes/f_deletion_manifests_daa3992.runtime.json,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/clean/seed_44/methods/F_text_only/ddp2/eval_full_clean_ids_v1/execution.json,[]
RSAR,clean,F_veto_only,42,ema,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/clean/seed_42/methods/F_veto_only/ddp2/eval_full_clean_ids_v1,,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/clean/seed_42/methods/F_veto_only/ddp2/eval_full_clean_ids_v1/predictions.pkl.image_ids.json,/home/zechuan/IRAOD-New-rc331d213/configs/baseline/oriented_rcnn_orthonet_rsar.py,incomplete,,,"[""missing_eval_json"", ""checkpoint_missing_or_size_changed"", ""missing_native_execution_binding"", ""checkpoint_unverified_or_wrong_source"", ""missing_eval_status"", ""missing_class_ap"", ""missing_predictions"", ""missing_pred_count"", ""missing_eval_json"", ""missing_prediction_image_order""]",,,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/clean/seed_42/methods/F_veto_only/ddp2/work/iter_266_ema.pth,e489f015cc2b67926a415436c97532ff814f826c4861b659cbc712fb9413b98c,,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/clean/seed_42/methods/F_veto_only/ddp2/eval_full_clean_ids_v1/eval_status,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/clean/seed_42/methods/F_veto_only/ddp2/eval_full_clean_ids_v1/class_ap.txt,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/clean/seed_42/methods/F_veto_only/ddp2/eval_full_clean_ids_v1/predictions.pkl,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/clean/seed_42/methods/F_veto_only/ddp2/eval_full_clean_ids_v1/pred_count.txt,0f98a48b539f9260055fc305784ffbc924f50451,331d2131b84651f0a2930a3d53faeefad8701531,0f98a48b539f9260055fc305784ffbc924f50451,0f98a48b539f9260055fc305784ffbc924f50451,,recorded_adaptation_producer,,,,common_one_epoch,/mnt/HDD_14TB/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/report_checkpoint_breg_f_ema_20260909T2102Z/mapped_runtimes/f_deletion_manifests_daa3992.runtime.json,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/clean/seed_42/methods/F_veto_only/ddp2/eval_full_clean_ids_v1/execution.json,"[""missing_eval_json"", ""checkpoint_missing_or_size_changed"", ""missing_native_execution_binding""]"
RSAR,clean,F_veto_only,43,ema,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/clean/seed_43/methods/F_veto_only/ddp2/eval_full_clean_ids_v1,,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/clean/seed_43/methods/F_veto_only/ddp2/eval_full_clean_ids_v1/predictions.pkl.image_ids.json,/home/zechuan/IRAOD-New-rc331d213/configs/baseline/oriented_rcnn_orthonet_rsar.py,incomplete,,,"[""missing_eval_json"", ""checkpoint_missing_or_size_changed"", ""missing_native_execution_binding"", ""checkpoint_unverified_or_wrong_source"", ""missing_eval_status"", ""missing_class_ap"", ""missing_predictions"", ""missing_pred_count"", ""missing_eval_json"", ""missing_prediction_image_order""]",,,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/clean/seed_43/methods/F_veto_only/ddp2/work/iter_266_ema.pth,e489f015cc2b67926a415436c97532ff814f826c4861b659cbc712fb9413b98c,,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/clean/seed_43/methods/F_veto_only/ddp2/eval_full_clean_ids_v1/eval_status,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/clean/seed_43/methods/F_veto_only/ddp2/eval_full_clean_ids_v1/class_ap.txt,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/clean/seed_43/methods/F_veto_only/ddp2/eval_full_clean_ids_v1/predictions.pkl,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/clean/seed_43/methods/F_veto_only/ddp2/eval_full_clean_ids_v1/pred_count.txt,0f98a48b539f9260055fc305784ffbc924f50451,331d2131b84651f0a2930a3d53faeefad8701531,0f98a48b539f9260055fc305784ffbc924f50451,0f98a48b539f9260055fc305784ffbc924f50451,,recorded_adaptation_producer,,,,common_one_epoch,/mnt/HDD_14TB/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/report_checkpoint_breg_f_ema_20260909T2102Z/mapped_runtimes/f_deletion_manifests_daa3992.runtime.json,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/clean/seed_43/methods/F_veto_only/ddp2/eval_full_clean_ids_v1/execution.json,"[""missing_eval_json"", ""checkpoint_missing_or_size_changed"", ""missing_native_execution_binding""]"
RSAR,clean,F_veto_only,44,ema,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/clean/seed_44/methods/F_veto_only/ddp2/eval_full_clean_ids_v1,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/clean/seed_44/methods/F_veto_only/ddp2/eval_full_clean_ids_v1/eval_20260910_032712.json,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/clean/seed_44/methods/F_veto_only/ddp2/eval_full_clean_ids_v1/predictions.pkl.image_ids.json,/home/zechuan/IRAOD-New-rc331d213/configs/baseline/oriented_rcnn_orthonet_rsar.py,complete,0.5273129940032959,0.5273129940032959,[],8538,67028,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/clean/seed_44/methods/F_veto_only/ddp2/work/iter_266_ema.pth,e489f015cc2b67926a415436c97532ff814f826c4861b659cbc712fb9413b98c,,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/clean/seed_44/methods/F_veto_only/ddp2/eval_full_clean_ids_v1/eval_status,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/clean/seed_44/methods/F_veto_only/ddp2/eval_full_clean_ids_v1/class_ap.txt,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/clean/seed_44/methods/F_veto_only/ddp2/eval_full_clean_ids_v1/predictions.pkl,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/clean/seed_44/methods/F_veto_only/ddp2/eval_full_clean_ids_v1/pred_count.txt,0f98a48b539f9260055fc305784ffbc924f50451,331d2131b84651f0a2930a3d53faeefad8701531,0f98a48b539f9260055fc305784ffbc924f50451,0f98a48b539f9260055fc305784ffbc924f50451,,recorded_adaptation_producer,,,,common_one_epoch,/mnt/HDD_14TB/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/report_checkpoint_breg_f_ema_20260909T2102Z/mapped_runtimes/f_deletion_manifests_daa3992.runtime.json,/home/zechuan/iraod_artifacts/comparison/xaf_student_quant_20260908/f_deletion_runs_daa3992/rsar/clean/seed_44/methods/F_veto_only/ddp2/eval_full_clean_ids_v1/execution.json,[]
