dataset,domain,method,seed,role,class_name,AP50,precision,historical_AP50,eval_AP50,status,evidence
RSAR,clean,A,42,source,ship,0.776,printed class_ap.txt (typically 3 decimals),0.776,0.776,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_42/0f98a48/methods/A/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,A,42,source,aircraft,0.622,printed class_ap.txt (typically 3 decimals),0.622,0.622,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_42/0f98a48/methods/A/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,A,42,source,car,0.784,printed class_ap.txt (typically 3 decimals),0.784,0.784,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_42/0f98a48/methods/A/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,A,42,source,tank,0.173,printed class_ap.txt (typically 3 decimals),0.173,0.173,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_42/0f98a48/methods/A/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,A,42,source,bridge,0.395,printed class_ap.txt (typically 3 decimals),0.395,0.395,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_42/0f98a48/methods/A/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,A,42,source,harbor,0.438,printed class_ap.txt (typically 3 decimals),0.438,0.438,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_42/0f98a48/methods/A/eval_full_clean_ids_v1/class_ap.txt
RSAR,clean,B,42,student,ship,0.613,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_42/0f98a48/methods/B/eval_full_clean_student_ids_v1/class_ap.txt
RSAR,clean,B,42,student,aircraft,0.318,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_42/0f98a48/methods/B/eval_full_clean_student_ids_v1/class_ap.txt
RSAR,clean,B,42,student,car,0.481,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_42/0f98a48/methods/B/eval_full_clean_student_ids_v1/class_ap.txt
RSAR,clean,B,42,student,tank,0.091,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_42/0f98a48/methods/B/eval_full_clean_student_ids_v1/class_ap.txt
RSAR,clean,B,42,student,bridge,0.123,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_42/0f98a48/methods/B/eval_full_clean_student_ids_v1/class_ap.txt
RSAR,clean,B,42,student,harbor,0.035,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_42/0f98a48/methods/B/eval_full_clean_student_ids_v1/class_ap.txt
RSAR,clean,B,43,student,ship,0.627,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_43/0f98a48/methods/B/eval_full_clean_student_ids_v1/class_ap.txt
RSAR,clean,B,43,student,aircraft,0.413,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_43/0f98a48/methods/B/eval_full_clean_student_ids_v1/class_ap.txt
RSAR,clean,B,43,student,car,0.494,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_43/0f98a48/methods/B/eval_full_clean_student_ids_v1/class_ap.txt
RSAR,clean,B,43,student,tank,0.091,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_43/0f98a48/methods/B/eval_full_clean_student_ids_v1/class_ap.txt
RSAR,clean,B,43,student,bridge,0.124,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_43/0f98a48/methods/B/eval_full_clean_student_ids_v1/class_ap.txt
RSAR,clean,B,43,student,harbor,0.069,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_43/0f98a48/methods/B/eval_full_clean_student_ids_v1/class_ap.txt
RSAR,clean,B,44,student,ship,0.609,printed class_ap.txt (typically 3 decimals),,,complete,/mnt/shared/zechuan/iraod_artifacts/comparison/rsar/clean/seed_44/0f98a48/methods/B/eval_full_clean_student_ids_v1/class_ap.txt
